"School Name","Education Agency","School Location","City","State","Zip","Type of School","School status at time of last report","School Level","County","Grades Offered","Total Students","Full-time-equivalent Classroom Teachers","Student/Teacher Ratio","National School Lunch Program Status","Free and Reduced-price Lunch Eligible Students","Title I Eligible","School-wide Title I","Title I Status","GreatSchools Link","NCES Public School ID","Urban-centric Locale","Magnet School","Charter School","Shared-time School","Virtual School","Reconstituted","Total Students","Prekindergarten Students","Kindergarten Students","Grade 1 Students","Grade 2 Students","Grade 3 Students","Grade 4 Students","Grade 5 Students","Grade 6 Students","Grade 7 Students","Grade 8 Students","Grade 9 Students","Grade 10 Students","Grade 11 Students","Grade 12 Students","High School Students Earning College Credit or CTE Students Beyo","Adult Education Students","Ungraded Students","White, Non-Hispanic Students","Hispanic Students","Black, Non-Hispanic Students","Asian, Non-Hispanic Students","American Indian/Alaska Native Students","Hawaiian Native/Pacific Islander Students","Two or More Races Students","Percent White, Non-Hispanic","Percent Hispanic","Percent Black, Non-Hispanic","Percent Asian, Non-Hispanic","Percent American Indian/Alaska Native","Percent Hawaiian Native/Pacific Islander","Percent Two or More Races","All Female High School","Majority Minority High School","Inner City High School"
"Cornell Elementary","Albany City Unified","920 Talbot Ave.","Albany","CA","94706","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","553","24.00","23.04","No","80","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/21","060186000061","Suburban, Large","","","","","","553","","138","180","186","182","206","214","","","","","","","","","0","","334","128","20","358","","","266","30.20","11.57","1.81","32.37","","","24.05","","",""
"MacGregor High (Continuation)","Albany City Unified","603 Key Route Blvd","Albany","CA","94706","Alternative School","Open","High","Alameda County","10, 11, 12","12","","","No","6","Title I Eligible School","Not School-wide Title I","Title I targeted assistance school","http://www.greatschools.net/modperl/browse_school/CA/22","060186007638","Suburban, Large","","","","","","12","","","","","","","","","","","","0","6","18","","0","","10","10","2","2","0","0","0","41.67","41.67","8.33","8.33","0.00","0.00","0.00","Not all female high school","Majority minority high school","Not inner city high school"
"Ocean View Elementary","Albany City Unified","1000 Jackson St.","Albany","CA","94706","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","574","23.30","24.64","No","181","Title I Eligible School","Not School-wide Title I","Title I targeted assistance school","http://www.greatschools.net/modperl/browse_school/CA/0864","060186007937","Suburban, Large","","","","","","574","","300","178","126","138","200","206","","","","","","","","","0","","222","214","36","358","","","318","19.34","18.64","3.14","31.18","","","27.70","","",""
"Berkeley Arts Magnet at Whittier","Berkeley Unified","1645 Milvia St.","Berkeley","CA","94709","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","442","20.98","21.07","No","148","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/39","060474000431","City, Midsize","Magnet school","","","","","442","","126","168","132","130","172","156","","","","","","","","","0","","394","130","114","98","","","148","44.57","14.71","12.90","11.09","","","16.74","","",""
"Berkeley High","Berkeley Unified","1980 Allston Way","Berkeley","CA","94704","Regular School","Open","High","Alameda County","9, 10, 11, 12","3117","153.40","20.32","No","884","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/25","060474000432","City, Midsize","","","","","","3117","","","","","","","","","","","1724","1568","1450","1492","","0","","2514","1462","926","546","14","22","750","40.33","23.45","14.85","8.76","0.22","0.35","12.03","Not all female high school","Majority minority high school","Inner city high school"
"Martin Luther King Middle","Berkeley Unified","1781 Rose St.","Berkeley","CA","94703","Regular School","Open","Middle","Alameda County","6, 7, 8","1024","47.00","21.79","No","279","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/31","060474000443","City, Midsize","","","","","","1024","","","","","","","","650","706","692","","","","","","0","","1016","294","226","156","2","2","352","49.61","14.36","11.04","7.62","0.10","0.10","17.19","","",""
"Leconte Elementary","Berkeley Unified","2241 Russell St.","Berkeley","CA","94705","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","381","20.28","18.79","No","142","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/32","060474000445","City, Midsize","","","","","","381","","202","120","122","114","116","88","","","","","","","","","0","","172","394","104","34","","","58","22.57","51.71","13.65","4.46","","","7.61","","",""
"Malcolm X Elementary","Berkeley Unified","1731 Prince St.","Berkeley","CA","94703","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","551","27.61","19.96","No","138","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/34","060474000447","City, Midsize","","","","","","551","","242","156","150","210","194","150","","","","","","","","","0","","530","178","152","72","","","170","48.09","16.15","13.79","6.53","","","15.43","","",""
"Oxford Elementary","Berkeley Unified","1130 Oxford St.","Berkeley","CA","94707","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","290","14.26","20.34","No","103","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/36","060474000448","City, Midsize","","","","","","290","","84","78","118","84","114","102","","","","","","","","","0","","238","104","112","26","","2","98","41.03","17.93","19.31","4.48","","0.34","16.90","","",""
"Thousand Oaks Elementary","Berkeley Unified","840 Colusa Ave.","Berkeley","CA","94707","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","423","22.66","18.67","No","181","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/37","060474000450","City, Midsize","","","","","","423","","112","158","144","134","156","142","","","","","","","","","0","","274","314","102","40","","","116","32.39","37.12","12.06","4.73","","","13.71","","",""
"Washington Elementary","Berkeley Unified","2300 MLK Jr. Way","Berkeley","CA","94704","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","500","23.54","21.24","No","157","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/38","060474000452","City, Midsize","","","","","","500","","240","150","164","130","160","156","","","","","","","","","0","","444","166","142","108","","2","138","44.40","16.60","14.20","10.80","","0.20","13.80","","",""
"Rosa Parks Environmental Science Magnet","Berkeley Unified","920 Allston Way","Berkeley","CA","94710","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","445","21.19","21.00","No","105","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/26","060474006865","City, Midsize","","","","","","445","","134","154","152","132","164","154","","","","","","","","","0","","418","184","88","66","","","134","46.97","20.67","9.89","7.42","","","15.06","","",""
"Willard Middle","Berkeley Unified","2425 Stuart St.","Berkeley","CA","94705","Regular School","Open","Middle","Alameda County","6, 7, 8","634","29.27","21.66","No","243","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/40","060474007267","City, Midsize","","","","","","634","","","","","","","","504","368","396","","","","","","0","","538","222","190","84","4","6","224","42.43","17.51","14.98","6.62","0.32","0.47","17.67","","",""
"John Muir Elementary","Berkeley Unified","2955 Claremont Ave.","Berkeley","CA","94705","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","296","13.76","21.51","No","116","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/35","060474008119","City, Midsize","","","","","","296","","122","82","112","86","112","78","","","","","","","","","0","","226","106","122","58","2","2","76","38.18","17.91","20.61","9.80","0.34","0.34","12.84","","",""
"REALM Charter High","Berkeley Unified","2023 Eighth St.","Berkeley","CA","94710","Regular School","Open","High","Alameda County","9, 10, 11, 12","344","12.17","28.27","No","251","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/5570","060474012715","City, Midsize","","Charter school","","","","344","","","","","","","","","","","186","172","158","172","","0","","40","470","116","16","2","","44","5.81","68.31","16.86","2.33","0.29","","6.40","Not all female high school","Majority minority high school","Inner city high school"
"Berkeley Special Education Preschool","Berkeley Unified","2134 MLK Jr. Way","Berkeley","CA","94704","Regular School","Open","Other","Alameda County","","","","","No","","Unknown","","","","060474012843","City, Midsize","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Canyon Middle","Castro Valley Unified","19600 Cull Canyon Rd.","Castro Valley","CA","94552","Regular School","Open","Middle","Alameda County","6, 7, 8","1388","58.35","23.79","No","338","Title I Eligible School","Not School-wide Title I","Title I targeted assistance eligible school-No program","http://www.greatschools.net/modperl/browse_school/CA/41","060780000740","Suburban, Large","","","","","","1388","","","","","","","","932","948","896","","","","","","0","","722","692","190","890","6","10","266","26.01","24.93","6.84","32.06","0.22","0.36","9.58","","",""
"Castro Valley Elementary","Castro Valley Unified","20185 San Miguel Ave.","Castro Valley","CA","94546","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","474","18.50","25.62","No","220","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/42","060780000741","Suburban, Large","","","","","","474","","242","150","150","150","160","96","","","","","","","","","0","","178","358","60","214","","6","132","18.78","37.76","6.33","22.57","","0.63","13.92","","",""
"Castro Valley High","Castro Valley Unified","19400 Santa Maria Ave.","Castro Valley","CA","94546","Regular School","Open","High","Alameda County","9, 10, 11, 12","2934","121.83","24.08","No","698","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/43","060780000742","Suburban, Large","","","","","","2934","","","","","","","","","","","1584","1470","1388","1426","","0","","1636","1378","382","1880","26","26","540","27.88","23.48","6.51","32.04","0.44","0.44","9.20","Not all female high school","Majority minority high school","Not inner city high school"
"Redwood Continuation High","Castro Valley Unified","18400 Clifton Way","Castro Valley","CA","94546","Alternative School","Open","High","Alameda County","9, 10, 11, 12","109","8.40","12.98","No","52","Title I Eligible School","Not School-wide Title I","Title I targeted assistance eligible school-No program","http://www.greatschools.net/modperl/browse_school/CA/51","060780000744","Suburban, Large","","","","Virtual school","","109","","","","","","","","","","","0","14","84","120","","0","","52","96","22","8","2","0","38","23.85","44.04","10.09","3.67","0.92","0.00","17.43","Not all female high school","Majority minority high school","Not inner city high school"
"Marshall Elementary","Castro Valley Unified","20111 Marshall St.","Castro Valley","CA","94546","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","502","20.00","25.10","No","187","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/48","060780000746","Suburban, Large","","","","","","502","","164","150","148","152","196","194","","","","","","","","","0","","236","330","46","266","2","16","108","23.51","32.87","4.58","26.49","0.20","1.59","10.76","","",""
"Proctor Elementary","Castro Valley Unified","17520 Redwood Rd.","Castro Valley","CA","94546","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","494","18.50","26.70","No","86","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/50","060780000749","Suburban, Large","","","","","","494","","150","202","152","156","152","176","","","","","","","","","0","","346","242","24","224","","","152","35.02","24.49","2.43","22.67","","","15.38","","",""
"Roy A. Johnson High","Castro Valley Unified","18400 Clifton Way","Castro Valley","CA","94546","Special Education School","Open","High","Alameda County","9, 10, 11, 12","13","","","No","3","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/2352","060780000750","Suburban, Large","","","","","","13","","","","","","","","","","","0","0","0","0","","0","26","8","4","2","10","0","0","2","30.77","15.38","7.69","38.46","0.00","0.00","7.69","Not all female high school","Majority minority high school","Not inner city high school"
"Vannoy Elementary","Castro Valley Unified","5100 Vannoy","Castro Valley","CA","94546","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","434","18.00","24.11","No","50","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/53","060780000752","Suburban, Large","","","","","","434","","102","152","148","142","164","160","","","","","","","","","0","","278","184","20","276","2","","108","32.03","21.20","2.30","31.80","0.23","","12.44","","",""
"Jensen Ranch Elementary","Castro Valley Unified","20001 Carson Ln.","Castro Valley","CA","94552","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","420","15.00","28.00","No","38","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/47","060780004339","Suburban, Large","","","","","","420","","114","136","146","148","150","146","","","","","","","","","0","","198","88","24","432","","","98","23.57","10.48","2.86","51.43","","","11.67","","",""
"Creekside Middle","Castro Valley Unified","19722 Center St.","Castro Valley","CA","94546","Regular School","Open","Middle","Alameda County","6, 7, 8","784","33.30","23.54","No","194","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/45","060780006909","Suburban, Large","","","","","","784","","","","","","","","526","522","520","","","","","","0","","562","356","56","444","2","6","142","35.84","22.70","3.57","28.32","0.13","0.38","9.06","","",""
"Chabot Elementary","Castro Valley Unified","19104 Lake Chabot Rd.","Castro Valley","CA","94546","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","468","16.50","28.36","No","95","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/44","060780007661","Suburban, Large","","","","","","468","","152","156","156","150","162","160","","","","","","","","","0","","292","158","32","300","","4","150","31.20","16.88","3.42","32.05","","0.43","16.03","","",""
"Independent Elementary","Castro Valley Unified","21201 Independent Sch Rd.","Castro Valley","CA","94552","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","660","25.00","26.40","No","111","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/46","060780009342","Suburban, Large","","","","","","660","","300","188","196","198","188","250","","","","","","","","","0","","318","180","84","528","","4","206","24.09","13.64","6.36","40.00","","0.30","15.61","","",""
"Stanton Elementary","Castro Valley Unified","2644 Somerset Ave.","Castro Valley","CA","94546","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","467","18.40","25.38","No","148","Title I Eligible School","Not School-wide Title I","Title I targeted assistance school","http://www.greatschools.net/modperl/browse_school/CA/52","060780009525","Suburban, Large","","","","","","467","","202","152","164","152","134","130","","","","","","","","","0","","226","250","82","254","","4","118","24.20","26.77","8.78","27.19","","0.43","12.63","","",""
"Alma Preschool","Castro Valley Unified","4400 Alma Ave.","Castro Valley","CA","94546","Regular School","Open","Other","Alameda County","","","","","No","","Unknown","","","","060780012607","Suburban, Large","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Castro Valley Virtual Academy","Castro Valley Unified","18400 Clifton Way","Castro Valley","CA","94546","Regular School","Open","Other","Alameda County","Kindergarten, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12","13","","","No","4","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/2566","060780014010","Suburban, Large","","","","Virtual school","","13","","0","0","0","0","0","0","0","0","2","0","12","12","0","","0","","8","6","2","6","0","0","4","30.77","23.08","7.69","23.08","0.00","0.00","15.38","","",""
"Anna Yates Elementary","Emery Unified","1125 53rd St.","Emeryville","CA","94608","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5, 6, 7, 8","511","26.00","19.65","No","392","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/65","061263001425","Suburban, Large","","","","","","511","","134","110","152","82","124","102","104","104","110","","","","","","0","","106","246","458","124","4","14","70","10.37","24.07","44.81","12.13","0.39","1.37","6.85","","",""
"Emery Secondary","Emery Unified","1100 47th St.","Emeryville","CA","94608","Regular School","Open","High","Alameda County","9, 10, 11, 12","179","14.69","12.19","No","132","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/63","061263001426","Suburban, Large","","","","","","179","","","","","","","","","","","84","108","88","78","","0","","28","92","152","58","","4","24","7.82","25.70","42.46","16.20","","1.12","6.70","Not all female high school","Majority minority high school","Not inner city high school"
"Emeryville Preschool Students","Emery Unified","1275 - 61st St.","Emeryville","CA","94608","Regular School","Open","Other","Alameda County","","","","","No","","Unknown","","","","061263013526","Suburban, Large","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Forest Park Elementary","Fremont Unified","34400 Maybird Cir.","Fremont","CA","94555","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5, 6","1013","38.00","26.66","No","48","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/77","061440000488","Suburban, Large","","","","","","1013","","288","288","288","240","280","344","298","","","","","","","","0","","70","72","14","1814","2","18","36","3.46","3.55","0.69","89.54","0.10","0.89","1.78","","",""
"John Blacow Elementary","Fremont Unified","40404 Sundale Dr.","Fremont","CA","94538","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5, 6","461","23.00","20.04","No","197","Title I Eligible School","Not School-wide Title I","Title I targeted assistance eligible school-No program","http://www.greatschools.net/modperl/browse_school/CA/69","061440001656","Suburban, Large","","","","","","461","","200","156","134","104","102","106","120","","","","","","","","0","","110","436","18","284","4","14","56","11.93","47.29","1.95","30.80","0.43","1.52","6.07","","",""
"Brier Elementary","Fremont Unified","39201 Sundale Dr.","Fremont","CA","94538","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5, 6","718","28.00","25.64","No","277","Title I Eligible School","Not School-wide Title I","Title I targeted assistance eligible school-No program","http://www.greatschools.net/modperl/browse_school/CA/70","061440001657","Suburban, Large","","","","","","718","","286","192","192","184","210","206","166","","","","","","","","0","","126","426","28","792","8","20","36","8.77","29.67","1.95","55.15","0.56","1.39","2.51","","",""
"Centerville Junior High","Fremont Unified","37720 Fremont Blvd.","Fremont","CA","94536","Regular School","Open","Middle","Alameda County","7, 8","1006","44.71","22.50","No","284","Title I Eligible School","Not School-wide Title I","Title I targeted assistance school","http://www.greatschools.net/modperl/browse_school/CA/73","061440001660","Suburban, Large","","","","","","1006","","","","","","","","","1040","972","","","","","","0","","402","414","66","1004","2","16","108","19.98","20.58","3.28","49.90","0.10","0.80","5.37","","",""
"Joshua Chadbourne Elementary","Fremont Unified","801 Plymouth Ave.","Fremont","CA","94539","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5, 6","747","30.00","24.90","No","40","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/74","061440001661","Suburban, Large","","","","","","747","","184","192","184","222","236","224","252","","","","","","","","0","","54","32","2","1384","","4","18","3.61","2.14","0.13","92.64","","0.27","1.20","","",""
"J. Haley Durham Elementary","Fremont Unified","40292 Leslie St.","Fremont","CA","94538","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5, 6","662","26.00","25.46","No","184","Title I Eligible School","Not School-wide Title I","Title I targeted assistance eligible school-No program","http://www.greatschools.net/modperl/browse_school/CA/76","061440001662","Suburban, Large","","","","","","662","","286","276","238","166","120","120","118","","","","","","","","0","","136","286","50","798","6","4","44","10.27","21.60","3.78","60.27","0.45","0.30","3.32","","",""
